Version 2
# ----------------------------------------------------------------------------------------------
# SCENARIO SETUP
# ----------------------------------------------------------------------------------------------
#
# FORMAT ScenarioName argument1 argument2 etc...
#
# arguments are any number of the format:
#
# StartEnd(time1, time2) scenario will only be spawned between these times
# Prob(prob) Probability between 0 and 1 that this scenario is spawned each time the point is evaluated
# Task(task) the task that will be run with this scenario, can be of:
#		Stationary	- stands still and plays anims
#		MoveBetween(time) - moves between nearby points playing anims, stands statinory for a max of time seconds
#		Group		- Spawns on the point but also spawns other peds around in conversation
#		Seated		- Spawns the ped sitting down
#		Wandering	- The ped wanders as normal, playing anims
# MaxInRange( maxNo, range ) will limit the number of peds in this scenario to maxno within range metres, 
#							so if range were 10, even if 100 points were within a 10m radius only Maxno would spawn
# Offset(x,y,z) additional offset for specific seating anims that differ from the placement node (steps and walls)
# WillAttractPeds : scenario will attract new wandering peds to use it, as well as generating peds there
# TimeTillPedLeaves(time) the ped will leave the scenario after the time specified
# SetSpecificModel(model) : scenario will only spawn models of type model
# SetSpecificPopcycleGroup(group) : scenario will only spawn models contained in group popcycle group
# ForceModelLoad : scenario will force load the model if its not already loaded (to a maximum of 2 simultaneously loaded models)
# BlockModel: Block a specific model from using the scenario, allowed up to 8

Seat_Bench					StartEnd(7, 22)	Task(Seated) Offset(0.0, 0.0, 0.55) WillAttractPeds BlockModel(F_Y_TOURIST_01) BlockModel(F_M_Business_02) BlockModel(M_Y_Bronx_01) BlockModel(F_M_Business_01)
Seat_StdChair					StartEnd(5, 22)		Task(Seated) Offset(0.0, 0.0, 0.55) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_StdCouch					StartEnd(9, 22)		Task(Seated) Offset(0.0, 0.0, 0.55) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_CafeChair					StartEnd(9, 24)		Task(Seated) Offset(0.0, 0.0, 0.55) WillAttractPeds BlockModel(M_O_PJersey_01) BlockModel(M_Y_Tough_05) BlockModel(M_Y_Streetpunk_05) BlockModel(F_M_Business_02)  BlockModel(M_M_FatMob_01) BlockModel(M_Y_GMAF_LO_02) BlockModel(M_Y_GMAF_HI_01) BlockModel(F_M_Business_01)
Seat_RestaurantChair			StartEnd(9, 20)		Task(Seated) Offset(0.0, 0.0, 0.55) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_BarChair					StartEnd(11, 4)		Task(Seated) Offset(0.0, 0.0, 0.55) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_StripClubChair				StartEnd(12,11)		Task(Seated) Offset(0.0, 0.0, 0.55) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_StripClubStool				StartEnd(12,11)		Task(Seated) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_BoardGamePlayer			StartEnd(9, 17)		Task(Seated) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_OnCar						StartEnd(9, 17)		Task(Seated) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_Crate						StartEnd(9, 17)		Task(Seated) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_InternetCafe				StartEnd(0, 24)		Task(Seated) TimeTillPedLeaves(10) WillAttractPeds BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_OnSteps					StartEnd(5, 24)		Task(Seated) Offset(0.0, 0.1, -0.526) WillAttractPeds BlockModel(M_O_HASID_01) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_OnStepsB					StartEnd(7, 24)		Task(Seated) Offset(0.0, 0.1, -0.526) WillAttractPeds BlockModel(M_O_HASID_01) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_OnWall						StartEnd(5, 24)		Task(Seated) Offset(0.0, -0.1, -0.65) WillAttractPeds BlockModel(F_M_Business_02) BlockModel(M_M_TRUCKER_01) BlockModel(F_M_Business_01)
Seat_OnStepsHangOut				StartEnd(7, 22)		Task(Seated) Offset(0.0, 0.1, -0.526) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_OnWallHangOut				StartEnd(7, 22)		Task(Seated) Offset(0.0, -0.1, -0.65) BlockModel(F_M_Business_02) BlockModel(M_M_TRUCKER_01) BlockModel(F_M_Business_01)
Seat_HospitalWaiting			StartEnd(8, 18)		Task(Seated) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)
Seat_SlouchedDruggie			StartEnd(0, 24)		Task(Seated) BlockModel(F_M_Business_02) BlockModel(F_M_Business_01)

HangOut_Street					StartEnd(0, 24)		Task(Group)
HangOut_AlleyWay				StartEnd(0, 24)		Task(Group)
HangOut_OutsideLiquorStore		StartEnd(7, 24)		Task(Group)
